cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
510	465	180	180	9930	600	3600	9600	600
510	165	180	180	9930	600	600	9600	600
425	390	180	180	9930	600	2600	9600	7600
510	690	180	180	9930	600	9600	9600	9600
425	240	180	180	9930	600	6600	9600	600
425	165	180	180	9930	600	9100	9600	600
340	165	180	180	9930	100	100	100	100
680	240	180	180	9930	600	9600	9600	600
340	165	180	180	9930	600	600	9600	600
510	240	180	180	9930	600	8600	9600	6100
425	540	180	180	9930	600	9600	9600	4600
425	390	180	180	9930	600	7600	9600	6600
255	165	180	180	9930	600	9600	9600	600
510	315	180	180	9930	600	2100	9600	600
425	165	180	180	9930	600	8100	9600	600
425	240	30	30	30	100	100	100	100
510	240	180	180	9930	600	9600	9600	3100
340	315	180	180	9930	600	1600	9600	600
425	465	180	180	9930	600	9600	9600	600
340	540	180	180	9930	600	2600	9600	8100
340	465	180	180	9930	600	4100	9600	3600
510	315	180	180	9930	600	2100	9600	600
425	315	180	180	9930	600	4600	9600	9100
595	15	30	30	30	100	100	100	100
425	540	180	180	9930	600	9600	9600	1600
340	240	180	180	9930	600	9600	9600	1600
255	390	180	3480	9930	600	9600	9600	9600
340	240	180	180	9930	600	9600	9600	600
510	390	180	180	9930	600	8600	9600	600
255	315	180	180	9930	600	9600	9600	600
360	390	180	1080	9930	600	9600	9600	1100
180	315	180	330	9930	600	6100	9600	1600
180	315	180	2280	9930	600	5100	9600	1100
240	240	180	1530	9930	600	9100	9600	1100
300	240	180	180	9930	600	9600	9600	1100
420	390	180	5730	9930	600	7100	9600	1100
300	465	180	3780	9930	600	8600	9600	600
300	390	180	780	9930	600	7100	9600	1100
180	240	180	930	9930	600	9600	9600	600
300	240	180	1980	9930	600	5600	9600	1100
180	315	180	1230	9930	600	4100	9600	2600
300	315	180	2280	9930	600	9600	9600	1600
180	315	180	930	9930	600	9600	9600	2100
300	390	180	180	9930	600	5100	9600	1100
180	240	180	6780	9930	600	9600	9600	1600
300	240	180	1680	5130	600	9600	9600	1100
120	240	180	6630	9930	600	9600	9600	1100
360	240	180	1380	9930	600	4100	9600	2100
300	240	180	1380	9930	600	9600	9600	1100
240	390	180	1080	9930	600	4100	9600	1600
240	315	180	1080	9930	600	9600	9600	2600
300	165	180	8730	9930	600	4600	9600	1100
300	165	180	180	9930	600	6100	9600	1100
180	390	180	5730	9930	600	4100	9600	1600
180	240	180	2280	9930	600	2100	9600	1100
240	390	180	480	9930	600	5100	9600	600
240	315	180	330	8880	600	6100	9600	1100
300	240	180	480	9930	600	5100	9600	1600
300	390	180	1230	9930	600	3600	9600	1600
180	390	180	930	9930	600	9600	9600	1100
950	1965	180	180	9930	600	9600	9600	600
665	315	180	180	9930	100	100	100	100
760	765	180	180	9930	600	9600	9600	600
855	1665	180	180	9930	100	100	100	100
950	3015	180	180	9930	600	9600	9600	8600
855	15	30	30	30	100	100	100	100
665	1815	180	180	9930	600	9600	9600	600
760	390	180	180	9930	600	9600	9600	600
665	15	30	30	30	100	100	100	100
855	840	180	180	9930	600	9600	9600	600
855	6090	180	180	9930	600	9600	9600	600
950	9990	180	180	9930	100	100	100	100
760	915	180	180	9930	100	100	100	100
855	1515	180	180	9930	600	9600	9600	600
1140	465	180	180	9930	600	9600	9600	600
760	15	30	30	30	100	100	100	100
855	540	180	180	9930	600	9600	9600	9600
760	2790	180	180	9930	600	9600	9600	9600
855	990	180	180	9930	600	5100	9600	600
760	15	30	30	30	100	100	100	100
855	465	180	180	9930	100	100	100	100
1140	540	180	180	9930	600	4100	9600	600
665	1290	180	180	9930	600	9600	9600	7600
950	540	180	180	9930	600	9600	9600	600
665	1665	180	180	9930	600	9600	9600	600
1045	2640	180	180	9930	600	9600	9600	600
855	1140	180	180	9930	600	7600	9600	600
1045	840	180	180	9930	600	9600	9600	9600
665	540	180	180	9930	600	9600	9600	9600
665	690	180	180	9930	100	100	100	100
2970	9990	180	180	9930	100	100	100	100
2970	9990	180	180	9930	600	9600	9600	600
2970	9990	180	180	9930	600	9600	9600	7600
2860	9990	180	180	9930	100	100	100	100
3080	9990	180	180	9930	600	9600	9600	9600
2640	9990	180	180	9930	100	100	100	100
2420	9990	180	180	9930	100	100	100	100
2310	9990	180	180	9930	600	9600	9600	600
3520	15	30	30	30	100	100	100	100
3190	9990	180	180	9930	100	100	100	100
2970	9990	180	180	9930	100	100	100	100
3080	9990	180	180	9930	100	100	100	100
2420	9990	30	30	30	100	100	100	100
2860	9990	180	180	9930	100	100	100	100
2970	9990	180	180	9930	100	100	100	100
2860	9990	180	180	9930	100	100	100	100
2860	9990	180	180	9930	100	100	100	100
2750	9990	180	180	9930	600	9600	9600	9600
2640	9990	30	30	30	100	100	100	100
2530	9990	180	180	9930	100	100	100	100
2530	15	30	30	30	100	100	100	100
3190	9990	180	180	9930	100	100	100	100
2970	15	30	30	30	100	100	100	100
2970	9990	180	180	9930	100	100	100	100
2420	9990	180	180	9930	100	100	100	100
2750	9990	180	180	9930	100	100	100	100
2750	9990	180	180	9930	600	9600	9600	600
2860	9990	180	180	9930	100	100	100	100
3080	9990	180	180	9930	600	9600	9600	600
2640	15	30	30	30	100	100	100	100
340	1215	630	480	780	2100	3100	9600	9600
340	1365	780	630	5730	2100	2600	9600	9600
425	1215	630	480	1080	2100	3600	9600	9600
425	1215	780	480	3780	2600	3100	9600	9600
425	915	630	480	6630	2100	2600	9600	9600
425	1440	780	480	4080	2100	3100	9600	9600
425	2190	780	480	1380	2100	2600	9600	9600
425	1515	780	480	6030	2100	2600	9600	9600
425	1365	630	480	9930	2100	2600	9600	9600
425	1440	780	630	9930	2100	3100	9600	9600
510	1140	780	630	9330	2100	3600	9600	9600
595	1890	780	480	2430	2600	3100	9600	9600
510	1590	630	480	8730	2100	3100	9600	9600
425	1290	780	480	9930	2100	3600	9600	9600
