cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
6362.254281640326	2124.916016125465	2778.024441539911	4712.568010952351	4766.313032186942	3109.1793129881	4655.126423403065	4766.313032186942	4444.608504694224
6067.075604627107	2353.1865122277923	2889.2314296323166	4581.660110520359	4866.441861683685	3231.25010814921	4732.792427867926	4861.986352927866	4700.533155771424
6070.567613030829	2211.956728617124	2872.408578259543	4627.434122849461	4791.08566320603	3082.405889198106	4622.410058743412	4622.410058743412	4508.924346066182
6246.285571045279	2446.4353703123493	2873.764425103962	4721.276706088941	4721.276706088941	3140.232987165527	4639.968484552042	4721.276706088941	4525.622905101153
6163.501137514617	2163.8071828290103	2883.408010750479	4700.9632749636585	4845.514985284018	3189.2028304351243	4710.45948348827	4747.77404159866	4360.413897264225
5774.99368781347	2341.954909428856	2847.5842005445047	4756.977136436022	4832.255644970699	3251.58962965169	4681.073399408932	4760.505801151039	4533.81649746553
5953.545012683485	2146.447477762857	2852.088373403036	4692.595076680132	4764.494008067033	3262.5493270165325	4720.906884192814	4764.494008067033	4583.216481898989
6040.321787670731	2156.7290032834344	2822.241813880009	4671.42800297471	4752.075850056268	3320.362456726621	4704.118489263086	4794.133299214405	4521.717717810452
6418.61088163968	2423.250691278284	2858.992920374423	4744.674475512125	4763.0397267451945	3012.2446369755185	4682.745708106914	4724.018463270816	4354.905291504876
5891.352304108924	2286.8390411859	2904.1320395135995	4741.38946271637	4819.209979763434	3269.6476869482017	4597.885266337649	4643.805343127031	3982.086139585093
5778.606417200543	2169.8093312827305	2866.876597678257	4588.128378017736	4807.220640000165	3076.936650539641	4709.565907639424	4752.87014094011	4448.735480131267
5834.582067829893	2220.5276239343257	2778.0734443280085	4712.718587492727	4838.118439139614	2983.759087976608	4672.7253482097885	4730.685232519457	4340.243605894941
6104.605481194237	2210.697236937188	2803.826176649543	4748.125613460262	4891.176485830751	3139.3319543217567	4727.590765408791	4814.637373854934	4638.3864716489325
6542.271309097504	2445.2616497082936	2874.2743908646776	4757.4070028990345	4807.016261848673	3200.04541552145	4705.170207089215	4807.016261848673	4401.329297887914
5935.058899879728	2390.028827098026	2780.758478704304	4711.265914054374	4887.97787769307	3067.3623191619663	4710.248547560857	4656.919986626752	4520.144090201393
5974.204930490234	2385.003612542542	2841.721301067684	4806.628494169099	4884.731976667794	3179.450176533277	4720.125110740456	4784.600293879303	4662.339475366852
6212.655223147522	2414.5424136189367	2805.58008770806	4744.421496454495	4866.693104474392	3639.916522596808	4667.423046612872	4787.733118912483	4634.513645446014
5879.838580460109	2167.028712551585	2847.328498227037	4591.051185829463	4700.9124595260255	3146.916646073366	4693.58466268179	4700.9124595260255	4202.31932690877
6203.407979727998	2405.4020847015845	2869.819815569232	4634.624599356734	4783.064311362715	3298.028851871009	4680.853104029333	4773.419146815137	4618.378536081076
5935.507095687088	2353.261660030284	2908.504771921145	4706.798734941296	4793.70845263258	3296.769849946083	4638.983166929856	4698.96297223856	4317.479388392439
5984.86288135034	2323.863627113596	2832.0374824566325	4763.183543965324	4820.87277620236	3222.0120142896376	4640.902726338793	4718.755731077599	4659.108958913995
5818.939913214701	2320.46835788336	2897.276033013285	4641.626662775807	4954.154832965955	3077.7879279502054	4647.927764910988	4681.557690910435	4408.374994690442
6113.040640390771	2259.875092120289	2847.269762513754	4768.615053519224	4781.427884837671	3192.17605121956	4681.166407407529	4780.725286522408	4627.873592620922
6171.51459380045	2422.6892195485443	2925.546521295149	4704.808208658883	4862.78533602029	3172.3886665623104	4718.900649200577	4754.572627283406	4186.112597096731
6287.146824048332	2078.044583429799	2863.081667884776	4683.681257148068	4802.125682816764	3035.6763771844912	4689.867743351062	4802.125682816764	4615.698682830763
5832.430961205289	2385.5262000595694	2779.991653281434	4764.822395599446	4824.765896004452	3047.061901105815	4687.481811553278	4687.481811553278	4394.708633112934
6121.773081027514	2358.6868494843025	2862.602372499832	4657.905263978925	4853.336193876939	3057.887687664605	4740.296008295657	4774.969985883459	4559.9834203552855
6166.5117498506825	2467.0556894670663	2779.985474588125	4696.856336516591	4844.9009639935775	3133.253408563228	4702.230972714444	4849.18468298724	4583.576931082889
6039.976060048122	2408.174353097544	2877.451848215907	4653.997219950067	4716.444889650062	3218.349268224428	4698.741380600827	4784.117692844526	4435.732079611885
5703.291333409639	2198.945377589128	2853.2930617165093	4631.3513686447095	4790.132774931955	3047.35223195384	4671.8333404857785	4828.851826385503	4541.757915242102
