iterations;evals;births;elapsed;all_size;firsts_size;lasts_size;geno_uni;sol_uni;fit_uni;best_fitness;seed;problem;solver_sigma;objective;best→fitness;genotype_size
5;90;90;0.2832;18;1;18;1.0;1.0;1.0;0.32677357973384263;1;ea.p.n.Small-3;cmaEs;minimize;0.32677357973384263;122
10;180;180;0.5622;18;1;18;1.0;1.0;1.0;0.32209120611916936;1;ea.p.n.Small-3;cmaEs;minimize;0.32209120611916936;122
15;270;270;0.9437;18;1;18;1.0;1.0;1.0;0.3315034635969274;1;ea.p.n.Small-3;cmaEs;minimize;0.3315034635969274;122
5;90;90;0.3494;18;1;18;1.0;1.0;1.0;0.4347329761837975;2;ea.p.n.Small-3;cmaEs;minimize;0.4347329761837975;122
10;180;180;0.7274;18;1;18;1.0;1.0;1.0;0.32608923916937615;2;ea.p.n.Small-3;cmaEs;minimize;0.32608923916937615;122
15;270;270;1.069;18;1;18;1.0;1.0;1.0;0.3337350521257194;2;ea.p.n.Small-3;cmaEs;minimize;0.3337350521257194;122
0;15;15;0.0417;15;1;15;1.0;1.0;1.0;0.49457870706313206;1;ea.p.n.Small-3;differentialEvolution;minimize;0.49457870706313206;122
5;90;90;0.2936;15;1;15;1.0;1.0;1.0;0.31235134213246574;1;ea.p.n.Small-3;differentialEvolution;minimize;0.31235134213246574;122
10;165;165;0.581;15;1;15;1.0;1.0;1.0;0.31235134213246574;1;ea.p.n.Small-3;differentialEvolution;minimize;0.31235134213246574;122
15;240;240;0.842;15;1;15;1.0;1.0;1.0;0.31235134213246574;1;ea.p.n.Small-3;differentialEvolution;minimize;0.31235134213246574;122
0;15;15;0.0494;15;1;15;1.0;1.0;1.0;0.4860836948539549;2;ea.p.n.Small-3;differentialEvolution;minimize;0.4860836948539549;122
5;90;90;0.2908;15;1;15;1.0;1.0;1.0;0.3604690090604633;2;ea.p.n.Small-3;differentialEvolution;minimize;0.3604690090604633;122
10;165;165;0.5733;15;1;15;1.0;1.0;1.0;0.33387018461066736;2;ea.p.n.Small-3;differentialEvolution;minimize;0.33387018461066736;122
15;240;240;0.8567;15;1;15;1.0;1.0;1.0;0.3298042229623866;2;ea.p.n.Small-3;differentialEvolution;minimize;0.3298042229623866;122
0;100;100;0.4068;100;1;100;1.0;1.0;1.0;0.3309438888092368;1;ea.p.n.Small-3;pso;minimize;0.3309438888092368;122
0;100;100;0.3668;100;1;100;1.0;1.0;1.0;0.3488790317660785;2;ea.p.n.Small-3;pso;minimize;0.3488790317660785;122
0;30;30;0.1097;30;1;30;1.0;1.0;1.0;0.49457870706313206;1;ea.p.n.Small-3;es-0.02;minimize;0.49457870706313206;122
5;180;180;0.6946;30;1;30;1.0;1.0;1.0;0.5148277263650121;1;ea.p.n.Small-3;es-0.02;minimize;0.5148277263650121;122
0;30;30;0.1252;30;1;30;1.0;1.0;1.0;0.4860836948539549;2;ea.p.n.Small-3;es-0.02;minimize;0.4860836948539549;122
5;180;180;0.7019;30;1;30;1.0;1.0;1.0;0.36496070494045013;2;ea.p.n.Small-3;es-0.02;minimize;0.36496070494045013;122
0;30;30;0.095;30;1;30;1.0;1.0;1.0;0.49457870706313206;1;ea.p.n.Small-3;es-0.25;minimize;0.49457870706313206;122
5;180;180;0.5645;30;1;30;1.0;1.0;1.0;0.3189132426834368;1;ea.p.n.Small-3;es-0.25;minimize;0.3189132426834368;122
0;30;30;0.0889;30;1;30;1.0;1.0;1.0;0.4860836948539549;2;ea.p.n.Small-3;es-0.25;minimize;0.4860836948539549;122
5;180;180;0.6568;30;1;30;1.0;1.0;1.0;0.417351817284468;2;ea.p.n.Small-3;es-0.25;minimize;0.417351817284468;122
0;30;30;0.1013;30;1;30;1.0;1.0;1.0;0.49457870706313206;1;ea.p.n.Small-3;es-0.5;minimize;0.49457870706313206;122
5;180;180;0.5999;30;1;30;1.0;1.0;1.0;0.31845699276412576;1;ea.p.n.Small-3;es-0.5;minimize;0.31845699276412576;122
0;30;30;0.0939;30;1;30;1.0;1.0;1.0;0.4860836948539549;2;ea.p.n.Small-3;es-0.5;minimize;0.4860836948539549;122
5;180;180;0.613;30;1;30;1.0;1.0;1.0;0.3791070804688521;2;ea.p.n.Small-3;es-0.5;minimize;0.3791070804688521;122
0;100;100;0.6767;100;1;100;1.0;1.0;1.0;0.3309438888092368;1;ea.p.n.Small-3;ga-0.02;minimize;0.3309438888092368;122
0;100;100;0.3375;100;1;100;1.0;1.0;1.0;0.3488790317660785;2;ea.p.n.Small-3;ga-0.02;minimize;0.3488790317660785;122
0;100;100;0.4056;100;1;100;1.0;1.0;1.0;0.3309438888092368;1;ea.p.n.Small-3;ga-0.25;minimize;0.3309438888092368;122
0;100;100;0.313;100;1;100;1.0;1.0;1.0;0.3488790317660785;2;ea.p.n.Small-3;ga-0.25;minimize;0.3488790317660785;122
0;100;100;0.3522;100;1;100;1.0;1.0;1.0;0.3309438888092368;1;ea.p.n.Small-3;ga-0.5;minimize;0.3309438888092368;122
0;100;100;0.4496;100;1;100;1.0;1.0;1.0;0.3488790317660785;2;ea.p.n.Small-3;ga-0.5;minimize;0.3488790317660785;122
5;100;100;0.5749;20;1;20;1.0;1.0;1.0;0.3251844411399763;1;ea.p.n.Large-5;cmaEs;minimize;0.3251844411399763;212
10;200;200;1.2378;20;1;20;1.0;1.0;1.0;0.33649975230135537;1;ea.p.n.Large-5;cmaEs;minimize;0.33649975230135537;212
